,district,Year,month,Visitors,district_1
1218,Karimnagar ,2016,December,13890,Karimnagar 
558,Karimnagar ,2016,June,914746,Karimnagar 
118,Karimnagar ,2016,February,779960,Karimnagar 
338,Karimnagar ,2016,April,956959,Karimnagar 
669,Khammam,2016,July,414963,Khammam
779,Khammam,2016,August,503654,Khammam
1109,Khammam,2016,November,110634,Khammam
119,Khammam,2016,February,407533,Khammam
449,Khammam,2016,May,433994,Khammam
339,Khammam,2016,April,971622,Khammam
229,Khammam,2016,March,458527,Khammam
889,Khammam,2016,September,368437,Khammam
1219,Khammam,2016,December,116403,Khammam
559,Khammam,2016,June,445862,Khammam
999,Khammam,2016,October,121575,Khammam
9,Khammam,2016,January,651827,Khammam
1110,Komaram Bheem Asifabad,2016,November,0,Komaram Bheem Asifabad
890,Komaram Bheem Asifabad,2016,September,null,Komaram Bheem Asifabad
450,Komaram Bheem Asifabad,2016,May,null,Komaram Bheem Asifabad
340,Komaram Bheem Asifabad,2016,April,null,Komaram Bheem Asifabad
120,Komaram Bheem Asifabad,2016,February,null,Komaram Bheem Asifabad
230,Komaram Bheem Asifabad,2016,March,null,Komaram Bheem Asifabad
560,Komaram Bheem Asifabad,2016,June,null,Komaram Bheem Asifabad
1220,Komaram Bheem Asifabad,2016,December,0,Komaram Bheem Asifabad
1000,Komaram Bheem Asifabad,2016,October,0,Komaram Bheem Asifabad
670,Komaram Bheem Asifabad,2016,July,null,Komaram Bheem Asifabad
10,Komaram Bheem Asifabad,2016,January,null,Komaram Bheem Asifabad
780,Komaram Bheem Asifabad,2016,August,null,Komaram Bheem Asifabad
121,Mahabubabad ,2016,February,46667.33333,Mahabubabad 
1111,Mahabubabad ,2016,November,114015,Mahabubabad 
891,Mahabubabad ,2016,September,46667.33333,Mahabubabad 
781,Mahabubabad ,2016,August,46667.33333,Mahabubabad 
341,Mahabubabad ,2016,April,46667.33333,Mahabubabad 
1001,Mahabubabad ,2016,October,13032,Mahabubabad 
1221,Mahabubabad ,2016,December,12955,Mahabubabad 
451,Mahabubabad ,2016,May,46667.33333,Mahabubabad 
561,Mahabubabad ,2016,June,46667.33333,Mahabubabad 
11,Mahabubabad ,2016,January,46667.33333,Mahabubabad 
231,Mahabubabad ,2016,March,46667.33333,Mahabubabad 
671,Mahabubabad ,2016,July,46667.33333,Mahabubabad 
122,Mahbubnagar,2016,February,1312068,Mahbubnagar
562,Mahbubnagar,2016,June,561006,Mahbubnagar
12,Mahbubnagar,2016,January,577071,Mahbubnagar
1222,Mahbubnagar,2016,December,210202,Mahbubnagar
452,Mahbubnagar,2016,May,571898,Mahbubnagar
672,Mahbubnagar,2016,July,562322,Mahbubnagar
232,Mahbubnagar,2016,March,1731983,Mahbubnagar
782,Mahbubnagar,2016,August,1133105,Mahbubnagar
892,Mahbubnagar,2016,September,567712,Mahbubnagar
342,Mahbubnagar,2016,April,622432,Mahbubnagar
1002,Mahbubnagar,2016,October,198592,Mahbubnagar
1112,Mahbubnagar,2016,November,256375,Mahbubnagar
123,Mancherial,2016,February,2600.666667,Mancherial
563,Mancherial,2016,June,2600.666667,Mancherial
783,Mancherial,2016,August,2600.666667,Mancherial
893,Mancherial,2016,September,2600.666667,Mancherial
673,Mancherial,2016,July,2600.666667,Mancherial
233,Mancherial,2016,March,2600.666667,Mancherial
1003,Mancherial,2016,October,3124,Mancherial
343,Mancherial,2016,April,2600.666667,Mancherial
13,Mancherial,2016,January,2600.666667,Mancherial
1223,Mancherial,2016,December,2423,Mancherial
1113,Mancherial,2016,November,2255,Mancherial
453,Mancherial,2016,May,2600.666667,Mancherial
454,Medak ,2016,May,198000,Medak 
124,Medak ,2016,February,215000,Medak 
564,Medak ,2016,June,166700,Medak 
14,Medak ,2016,January,92600,Medak 
234,Medak ,2016,March,1318000,Medak 
1114,Medak ,2016,November,132300,Medak 
674,Medak ,2016,July,153300,Medak 
1004,Medak ,2016,October,15600,Medak 
1224,Medak ,2016,December,523000,Medak 
894,Medak ,2016,September,132600,Medak 
344,Medak ,2016,April,300000,Medak 
784,Medak ,2016,August,216100,Medak 
895,Nagarkurnool ,2016,September,196157.6667,Nagarkurnool 
785,Nagarkurnool ,2016,August,196157.6667,Nagarkurnool 
1115,Nagarkurnool ,2016,November,188786,Nagarkurnool 
1005,Nagarkurnool ,2016,October,201050,Nagarkurnool 
345,Nagarkurnool ,2016,April,196157.6667,Nagarkurnool 
125,Nagarkurnool ,2016,February,196157.6667,Nagarkurnool 
235,Nagarkurnool ,2016,March,196157.6667,Nagarkurnool 
565,Nagarkurnool ,2016,June,196157.6667,Nagarkurnool 
1225,Nagarkurnool ,2016,December,198637,Nagarkurnool 
15,Nagarkurnool ,2016,January,196157.6667,Nagarkurnool 
675,Nagarkurnool ,2016,July,196157.6667,Nagarkurnool 
455,Nagarkurnool ,2016,May,196157.6667,Nagarkurnool 
896,Nalgonda,2016,September,742402,Nalgonda
786,Nalgonda,2016,August,988102,Nalgonda
1226,Nalgonda,2016,December,13775,Nalgonda
1006,Nalgonda,2016,October,3508,Nalgonda
346,Nalgonda,2016,April,601253,Nalgonda
1116,Nalgonda,2016,November,21046,Nalgonda
456,Nalgonda,2016,May,628872,Nalgonda
236,Nalgonda,2016,March,619462,Nalgonda
566,Nalgonda,2016,June,551239,Nalgonda
16,Nalgonda,2016,January,566515,Nalgonda
676,Nalgonda,2016,July,582820,Nalgonda
126,Nalgonda,2016,February,539467,Nalgonda
567,Nirmal,2016,June,305536.6667,Nirmal
787,Nirmal,2016,August,305536.6667,Nirmal
457,Nirmal,2016,May,305536.6667,Nirmal
237,Nirmal,2016,March,305536.6667,Nirmal
17,Nirmal,2016,January,305536.6667,Nirmal
1007,Nirmal,2016,October,475955,Nirmal
677,Nirmal,2016,July,305536.6667,Nirmal
1227,Nirmal,2016,December,239267,Nirmal
347,Nirmal,2016,April,305536.6667,Nirmal
127,Nirmal,2016,February,305536.6667,Nirmal
897,Nirmal,2016,September,305536.6667,Nirmal
1117,Nirmal,2016,November,201388,Nirmal
898,Nizamabad,2016,September,553,Nizamabad
568,Nizamabad,2016,June,367,Nizamabad
678,Nizamabad,2016,July,644,Nizamabad
1008,Nizamabad,2016,October,434,Nizamabad
18,Nizamabad,2016,January,576,Nizamabad
1228,Nizamabad,2016,December,355,Nizamabad
128,Nizamabad,2016,February,869,Nizamabad
348,Nizamabad,2016,April,476,Nizamabad
788,Nizamabad,2016,August,589,Nizamabad
238,Nizamabad,2016,March,408,Nizamabad
1118,Nizamabad,2016,November,617,Nizamabad
458,Nizamabad,2016,May,554,Nizamabad
789,Peddapalli,2016,August,1081.333333,Peddapalli
1119,Peddapalli,2016,November,1145,Peddapalli
239,Peddapalli,2016,March,1081.333333,Peddapalli
679,Peddapalli,2016,July,1081.333333,Peddapalli
899,Peddapalli,2016,September,1081.333333,Peddapalli
569,Peddapalli,2016,June,1081.333333,Peddapalli
459,Peddapalli,2016,May,1081.333333,Peddapalli
1009,Peddapalli,2016,October,950,Peddapalli
349,Peddapalli,2016,April,1081.333333,Peddapalli
129,Peddapalli,2016,February,1081.333333,Peddapalli
19,Peddapalli,2016,January,1081.333333,Peddapalli
1229,Peddapalli,2016,December,1149,Peddapalli
900,Rajanna Sircilla ,2016,September,725600.3333,Rajanna Sircilla 
570,Rajanna Sircilla ,2016,June,725600.3333,Rajanna Sircilla 
790,Rajanna Sircilla ,2016,August,725600.3333,Rajanna Sircilla 
1010,Rajanna Sircilla ,2016,October,534484,Rajanna Sircilla 
130,Rajanna Sircilla ,2016,February,725600.3333,Rajanna Sircilla 
680,Rajanna Sircilla ,2016,July,725600.3333,Rajanna Sircilla 
240,Rajanna Sircilla ,2016,March,725600.3333,Rajanna Sircilla 
350,Rajanna Sircilla ,2016,April,725600.3333,Rajanna Sircilla 
20,Rajanna Sircilla ,2016,January,725600.3333,Rajanna Sircilla 
1230,Rajanna Sircilla ,2016,December,778240,Rajanna Sircilla 
460,Rajanna Sircilla ,2016,May,725600.3333,Rajanna Sircilla 
1120,Rajanna Sircilla ,2016,November,864077,Rajanna Sircilla 
351,Sangareddy ,2016,April,259333.3333,Sangareddy 
1231,Sangareddy ,2016,December,155000,Sangareddy 
461,Sangareddy ,2016,May,259333.3333,Sangareddy 
571,Sangareddy ,2016,June,259333.3333,Sangareddy 
901,Sangareddy ,2016,September,259333.3333,Sangareddy 
791,Sangareddy ,2016,August,259333.3333,Sangareddy 
241,Sangareddy ,2016,March,259333.3333,Sangareddy 
131,Sangareddy ,2016,February,259333.3333,Sangareddy 
21,Sangareddy ,2016,January,259333.3333,Sangareddy 
1011,Sangareddy ,2016,October,274000,Sangareddy 
1121,Sangareddy ,2016,November,349000,Sangareddy 
681,Sangareddy ,2016,July,259333.3333,Sangareddy 
352,Siddipet,2016,April,119466.6667,Siddipet
22,Siddipet,2016,January,119466.6667,Siddipet
1232,Siddipet,2016,December,80500,Siddipet
902,Siddipet,2016,September,119466.6667,Siddipet
682,Siddipet,2016,July,119466.6667,Siddipet
1012,Siddipet,2016,October,123500,Siddipet
242,Siddipet,2016,March,119466.6667,Siddipet
792,Siddipet,2016,August,119466.6667,Siddipet
572,Siddipet,2016,June,119466.6667,Siddipet
1122,Siddipet,2016,November,154400,Siddipet
462,Siddipet,2016,May,119466.6667,Siddipet
132,Siddipet,2016,February,119466.6667,Siddipet
243,Wanaparthy ,2016,March,20046,Wanaparthy 
23,Wanaparthy ,2016,January,20046,Wanaparthy 
353,Wanaparthy ,2016,April,20046,Wanaparthy 
903,Wanaparthy ,2016,September,20046,Wanaparthy 
573,Wanaparthy ,2016,June,20046,Wanaparthy 
463,Wanaparthy ,2016,May,20046,Wanaparthy 
1123,Wanaparthy ,2016,November,18348,Wanaparthy 
1233,Wanaparthy ,2016,December,20556,Wanaparthy 
683,Wanaparthy ,2016,July,20046,Wanaparthy 
1013,Wanaparthy ,2016,October,21234,Wanaparthy 
793,Wanaparthy ,2016,August,20046,Wanaparthy 
133,Wanaparthy ,2016,February,20046,Wanaparthy 
794,Warangal (Rural),2016,August,6466.667,Warangal (Rural)
464,Warangal (Rural),2016,May,6466.667,Warangal (Rural)
1234,Warangal (Rural),2016,December,5150,Warangal (Rural)
354,Warangal (Rural),2016,April,6466.667,Warangal (Rural)
244,Warangal (Rural),2016,March,6466.667,Warangal (Rural)
1124,Warangal (Rural),2016,November,6050,Warangal (Rural)
574,Warangal (Rural),2016,June,6466.667,Warangal (Rural)
684,Warangal (Rural),2016,July,6466.667,Warangal (Rural)
134,Warangal (Rural),2016,February,6466.667,Warangal (Rural)
1014,Warangal (Rural),2016,October,8200,Warangal (Rural)
904,Warangal (Rural),2016,September,6466.667,Warangal (Rural)
24,Warangal (Rural),2016,January,6466.667,Warangal (Rural)
355,Warangal (Urban),2016,April,317643,Hanumakonda
245,Warangal (Urban),2016,March,568397,Hanumakonda
905,Warangal (Urban),2016,September,379210,Hanumakonda
465,Warangal (Urban),2016,May,373788,Hanumakonda
795,Warangal (Urban),2016,August,368755,Hanumakonda
1125,Warangal (Urban),2016,November,129250,Hanumakonda
685,Warangal (Urban),2016,July,340320,Hanumakonda
575,Warangal (Urban),2016,June,365332,Hanumakonda
135,Warangal (Urban),2016,February,20703778,Hanumakonda
25,Warangal (Urban),2016,January,1985815,Hanumakonda
1235,Warangal (Urban),2016,December,127500,Hanumakonda
1015,Warangal (Urban),2016,October,128247,Hanumakonda
246,Yadadri Bhongir,2016,March,576200,Yadadri Bhongir
576,Yadadri Bhongir,2016,June,576200,Yadadri Bhongir
26,Yadadri Bhongir,2016,January,576200,Yadadri Bhongir
686,Yadadri Bhongir,2016,July,576200,Yadadri Bhongir
136,Yadadri Bhongir,2016,February,576200,Yadadri Bhongir
796,Yadadri Bhongir,2016,August,576200,Yadadri Bhongir
466,Yadadri Bhongir,2016,May,576200,Yadadri Bhongir
906,Yadadri Bhongir,2016,September,576200,Yadadri Bhongir
1016,Yadadri Bhongir,2016,October,584800,Yadadri Bhongir
1126,Yadadri Bhongir,2016,November,681000,Yadadri Bhongir
356,Yadadri Bhongir,2016,April,576200,Yadadri Bhongir
1236,Yadadri Bhongir,2016,December,462800,Yadadri Bhongir
1237,Adilabad,2017,December,54251,Adilabad
907,Adilabad,2017,September,42699,Adilabad
247,Adilabad,2017,March,27508,Adilabad
1017,Adilabad,2017,October,41666,Adilabad
357,Adilabad,2017,April,13946,Adilabad
467,Adilabad,2017,May,11752,Adilabad
27,Adilabad,2017,January,318799,Adilabad
797,Adilabad,2017,August,34876,Adilabad
137,Adilabad,2017,February,83316,Adilabad
1127,Adilabad,2017,November,117322,Adilabad
687,Adilabad,2017,July,52386,Adilabad
577,Adilabad,2017,June,26859,Adilabad
1018,Bhadradri Kothagudem ,2017,October,334504,Bhadradri Kothagudem 
578,Bhadradri Kothagudem ,2017,June,351742,Bhadradri Kothagudem 
248,Bhadradri Kothagudem ,2017,March,243943,Bhadradri Kothagudem 
1128,Bhadradri Kothagudem ,2017,November,281515,Bhadradri Kothagudem 
138,Bhadradri Kothagudem ,2017,February,251359,Bhadradri Kothagudem 
688,Bhadradri Kothagudem ,2017,July,258114,Bhadradri Kothagudem 
468,Bhadradri Kothagudem ,2017,May,311626,Bhadradri Kothagudem 
908,Bhadradri Kothagudem ,2017,September,381784,Bhadradri Kothagudem 
798,Bhadradri Kothagudem ,2017,August,316438,Bhadradri Kothagudem 
358,Bhadradri Kothagudem ,2017,April,667459,Bhadradri Kothagudem 
1238,Bhadradri Kothagudem ,2017,December,393518,Bhadradri Kothagudem 
28,Bhadradri Kothagudem ,2017,January,302315,Bhadradri Kothagudem 
29,Hyderabad,2017,January,1924695,Hyderabad
469,Hyderabad,2017,May,2266793,Hyderabad
1019,Hyderabad,2017,October,2202316,Hyderabad
799,Hyderabad,2017,August,1976980,Hyderabad
909,Hyderabad,2017,September,2011280,Hyderabad
1239,Hyderabad,2017,December,4871416,Hyderabad
139,Hyderabad,2017,February,1886698,Hyderabad
689,Hyderabad,2017,July,1890870,Hyderabad
1129,Hyderabad,2017,November,1971438,Hyderabad
579,Hyderabad,2017,June,2007060,Hyderabad
359,Hyderabad,2017,April,2366793,Hyderabad
249,Hyderabad,2017,March,1783903,Hyderabad
470,Jagtial ,2017,May,468038,Jagtial 
1020,Jagtial ,2017,October,248504,Jagtial 
140,Jagtial ,2017,February,159659,Jagtial 
1130,Jagtial ,2017,November,348042,Jagtial 
690,Jagtial ,2017,July,247254,Jagtial 
800,Jagtial ,2017,August,386458,Jagtial 
250,Jagtial ,2017,March,323658,Jagtial 
580,Jagtial ,2017,June,418103,Jagtial 
910,Jagtial ,2017,September,143102,Jagtial 
360,Jagtial ,2017,April,330540,Jagtial 
1240,Jagtial ,2017,December,393566,Jagtial 
30,Jagtial ,2017,January,174477,Jagtial 
581,Jangaon ,2017,June,13750,Jangaon 
251,Jangaon ,2017,March,8450,Jangaon 
911,Jangaon ,2017,September,15600,Jangaon 
1021,Jangaon ,2017,October,16130,Jangaon 
361,Jangaon ,2017,April,9788,Jangaon 
141,Jangaon ,2017,February,12610,Jangaon 
1241,Jangaon ,2017,December,16880,Jangaon 
31,Jangaon ,2017,January,12280,Jangaon 
1131,Jangaon ,2017,November,16360,Jangaon 
471,Jangaon ,2017,May,12130,Jangaon 
801,Jangaon ,2017,August,15680,Jangaon 
691,Jangaon ,2017,July,16050,Jangaon 
142,Jayashankar Bhoopalpally,2017,February,96850,Jayashankar Bhoopalpally
362,Jayashankar Bhoopalpally,2017,April,90700,Jayashankar Bhoopalpally
1132,Jayashankar Bhoopalpally,2017,November,116800,Jayashankar Bhoopalpally
1242,Jayashankar Bhoopalpally,2017,December,723000,Jayashankar Bhoopalpally
472,Jayashankar Bhoopalpally,2017,May,91150,Jayashankar Bhoopalpally
32,Jayashankar Bhoopalpally,2017,January,96560,Jayashankar Bhoopalpally
252,Jayashankar Bhoopalpally,2017,March,81400,Jayashankar Bhoopalpally
1022,Jayashankar Bhoopalpally,2017,October,115250,Jayashankar Bhoopalpally
802,Jayashankar Bhoopalpally,2017,August,118350,Jayashankar Bhoopalpally
912,Jayashankar Bhoopalpally,2017,September,112600,Jayashankar Bhoopalpally
692,Jayashankar Bhoopalpally,2017,July,94700,Jayashankar Bhoopalpally
582,Jayashankar Bhoopalpally,2017,June,93650,Jayashankar Bhoopalpally
583,Jogulamba Gadwal ,2017,June,160182,Jogulamba Gadwal 
913,Jogulamba Gadwal ,2017,September,123733,Jogulamba Gadwal 
1023,Jogulamba Gadwal ,2017,October,152898,Jogulamba Gadwal 
253,Jogulamba Gadwal ,2017,March,155013,Jogulamba Gadwal 
143,Jogulamba Gadwal ,2017,February,481110,Jogulamba Gadwal 
1133,Jogulamba Gadwal ,2017,November,188170,Jogulamba Gadwal 
33,Jogulamba Gadwal ,2017,January,214887,Jogulamba Gadwal 
803,Jogulamba Gadwal ,2017,August,131485,Jogulamba Gadwal 
363,Jogulamba Gadwal ,2017,April,131426,Jogulamba Gadwal 
